Open,High,Low,Close,Volume
263,269.899994,253.5,257.649994,1646094
260,261.799988,244.5,247.850006,604130
244.100006,259.5,244.100006,256.549988,567306
251,263.799988,249,260.149994,772172
265,271.850006,263,265.75,1067419
268,269.799988,256.100006,259.399994,547202
255,258.649994,243.5,246.75,457615
246.550003,251.899994,242.600006,244.100006,856323
259.899994,259.899994,240.100006,243.899994,724885
249,249,242.300003,244.199997,581532
243,249.399994,241.149994,247.199997,468830
250.5,258.799988,249,256.5,839329
256,260,250.75,251.949997,403208
255.050003,256.899994,252.25,254,216724
256,256,249.199997,250.5,351566
251.050003,256,249,249.850006,328565
248.699997,252.449997,246.100006,248.199997,281130
252.850006,254.800003,243.149994,244.199997,502942
241,248.449997,240,241,221310
243,247.699997,241.600006,242.600006,528912
246,249.699997,244.550003,246.899994,453579
250,255.699997,248.25,254,341822
258,264.899994,253.100006,258.950012,1117355
259,261.899994,250.399994,253.75,555484
257.899994,304.5,254.699997,260.899994,1517369
263,266.5,255.600006,258.200012,771901
259.100006,259.700012,252.75,253.75,236115
259,266,255.199997,264.899994,488974
267,275,267,274.049988,1147267
278,279,262.149994,265.25,820442
265.25,273.850006,262.299988,269.299988,493447
271.850006,273.25,268.149994,269.299988,228386
268.600006,271.450012,261.25,262.850006,478266
260,269.899994,256.5,266,567262
265,276.649994,260,274.450012,428699
278.799988,281.899994,275,279,589283
279.600006,283.399994,279.200012,281.350006,605010
281,284.799988,280,282.049988,377886
281,282,276.399994,278.149994,197753
280,282,270,276.25,245654
276.5,289.899994,276.25,282.100006,561155
284.600006,286.600006,278.350006,279.5,288071
280,283,277.549988,280.700012,283007
282,282,275,277.100006,192760
277,277,277,277,0
279,284.399994,278.5,282.25,228640
286.149994,294,285,292.100006,642416
293,295.5,289,293.399994,227486
292,293,285.100006,287.149994,180674
285.600006,288.600006,280.299988,282.049988,158379
280,285.5,276.299988,280,164887
284.799988,285.5,280.200012,282.850006,130283
285,285,278.049988,280.549988,92780
276.600006,282,271.5,273.149994,288223
274,275,267.100006,269,395985
266,266.899994,248.5,251,641737
254.949997,266.850006,251.5,262.850006,755478
263,263,255.649994,258.200012,379217
257,264.799988,257,263.799988,201474
262,265.5,259.5,264.25,114712
266.399994,281.899994,263.5,278,706106
282,282,268.549988,277.899994,517069
282,282,274.5,276.299988,216188
277.5,293.700012,274.5,286.149994,430782
286.200012,289.200012,283.100006,285.25,272853
290.100006,290.100006,278.5,280.799988,137575
282,285.75,281.100006,282.200012,125100
282.299988,286.799988,280.399994,284.350006,92403
281.200012,286.899994,281.200012,282.299988,146563
282.299988,284.5,274,275.450012,145865
273,286.450012,273,284.100006,293475
284.200012,284.950012,278.200012,281.25,210123
281.950012,291.549988,280.200012,288.899994,303542
290.350006,292.950012,283.149994,284.350006,200088
283,287.649994,280.350006,282.299988,159385
278.899994,284,273,277.549988,180946
282.549988,284.899994,279.399994,281.149994,92480
280.100006,299.899994,280.100006,293.850006,467039
296,307.799988,291.299988,305.299988,944614
310,318.899994,308.149994,315.5,1501946
317,324,316,318.700012,610517
321.25,321.5,311.049988,315.149994,396133
315,328.399994,314.600006,325.200012,815697
325.5,325.5,318.25,320.899994,584646
320,321.799988,314.100006,317.600006,287594
318.5,320.950012,314.100006,315,350829
314.5,318,313.600006,315.450012,142406
311.899994,321.5,311.049988,313.549988,220931
311.5,320.350006,310,317.350006,280455
317.5,328.799988,317.299988,327.299988,543702
327,330.899994,317.850006,319.649994,307415
320,324.899994,314.5,315,136299
318.799988,319.75,310.5,313.5,174575
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
325.100006,326.5,319.299988,325.149994,378946
328,332,326.100006,329.899994,372564
332.350006,336.200012,328.049988,328.399994,346131
328,329.899994,320.049988,321.600006,280690
322,327.5,315,317.100006,459436
319,324.350006,316.600006,319.700012,493177
320,321.450012,309,310.25,428327
305,316.450012,305,315.200012,265723
310,319.399994,310,315.600006,151074
316,319.5,311.049988,312.149994,606691
315,319.899994,306,317.5,469837
319.899994,324,315,316.600006,1149658
319.75,319.75,311,312.950012,348568
315,317.450012,309,311,475080
308.600006,313.649994,297.049988,310.600006,510921
302.100006,310.450012,301.5,306.100006,479301
305,308.600006,289.25,291.350006,564238
295.049988,299.649994,280.5,283.149994,375265
282.799988,299.700012,276.049988,296.850006,1034264
300,308.100006,296.549988,305.899994,344871
307.700012,309.450012,295.100006,296.700012,270664
300.049988,303.899994,300,302.549988,156459
300.100006,305.399994,295.549988,298.299988,241081
295,295,279.049988,286.049988,685783
null,null,null,null,null
285.100006,293.899994,285.100006,292.5,198850
296,299.600006,291,297.399994,159208
299,300.850006,289.399994,290.049988,212529
292,294,286.5,287.700012,1097283
286,291.700012,282,283.299988,287666
286,287,281,285.950012,249619
290,290,285,287.450012,581539
288,299.399994,285.950012,291.799988,939893
297,303.399994,281.899994,295.899994,1907164
298.100006,304.799988,282.549988,285.450012,745210
286,289.149994,283.5,284.950012,238825
284.100006,287.899994,282.5,284.200012,431693
287.899994,289.799988,273.75,280.899994,4982823
278,295,278,288,797002
290,292.899994,284.5,285.700012,314206
286.5,300.850006,285.600006,298.950012,882404
300,309,298.549988,307.850006,949782
309.299988,310.350006,305.5,308,365930
311,319.399994,308,317.700012,772302
